st_code,cfra_code,major_head,year,vol,amt
40,250560902,2505,2006,2,-869425
40,220201906,2202,2006,3,-645317.27
40,305480903,3054,2005,2,-452030.5
40,305480903,3054,2006,2,-443648
40,224580902,2245,2005,3,-306143.96
40,224580902,2245,2006,3,-196205.07
40,327500902,3275,2005,2,-176685.43
40,327500902,3275,2006,2,-150000
33,224505901,2245,2005,3,-123645
40,223560911,2235,2006,3,-82457.76
28,224505901,2245,2006,3,-62885.71
8,224505901,2245,2006,3,-60306.98
29,224505901,2245,2005,3,-60095.75
24,224506901,2245,2006,3,-57835
27,224505901,2245,2006,3,-50618
21,224505901,2245,2006,3,-45808.65
28,224505901,2245,2005,3,-44408
1,224505901,2245,2005,3,-41857.4
29,224505901,2245,2006,3,-40161.25
24,224506901,2245,2005,3,-37804.6
8,224505901,2245,2005,3,-36411.02
33,224505901,2245,2006,3,-32407
27,220202910,2202,2006,3,-29346.79
40,345300911,3453,2005,2,-27922.43
27,220202910,2202,2005,3,-27860.53
21,224505901,2245,2005,3,-23820.52
1,224505901,2245,2006,3,-22799.77
27,224505901,2245,2005,3,-21939.79
40,241501911,2415,2006,2,-19334.81
33,224580911,2245,2006,3,-14603.65
40,223001902,2230,2006,3,-13397.11
40,223001902,2230,2005,3,-13257.89
32,224505901,2245,2005,3,-12773.37
29,305480902,3054,2005,2,-11852
40,221100911,2211,2006,3,-11832.17
32,224505901,2245,2006,3,-10873.04
40,240801902,2408,2005,2,-10370.36
40,240801902,2408,2006,2,-9351.18
33,305480902,3054,2006,2,-7507.26
33,305480902,3054,2005,2,-6946.72
21,221001001,2210,2005,3,-6878.08
33,345600911,3456,2005,2,-6617.73
32,222501911,2225,2005,3,-6452.35
32,240100911,2401,2005,2,-5762.07
19,224505797,2245,2006,3,-5729.83
40,285100911,2851,2005,2,-5496.32
32,305405902,3054,2006,2,-4943.9
33,305403052,3054,2005,2,-4488.04
40,223502911,2235,2006,3,-4355.71
21,205980052,2059,2006,3,-4123.61
6,224505901,2245,2005,3,-3955.9
27,223560797,2235,2006,3,-3911.01
27,223680797,2236,2006,3,-3888.12
27,220500910,2205,2006,3,-3712.47
32,251500911,2515,2005,2,-3438.23
40,221100911,2211,2005,3,-3405.51
32,242500911,2425,2006,2,-3272.4
40,240701903,2407,2006,2,-3268
40,220201911,2202,2005,3,-3233.44
40,220201911,2202,2006,3,-3204.8
24,220280797,2202,2006,3,-3200
18,201400102,2014,2006,3,-3098.73
24,220280797,2202,2005,3,-3000
6,224505901,2245,2006,3,-2999.28
40,221602911,2216,2005,3,-2944.36
32,305405902,3054,2005,2,-2854.42
40,243560911,2435,2006,2,-2660.22
40,240701903,2407,2005,2,-2658
27,220500910,2205,2005,3,-2652.91
33,225000902,2250,2006,3,-2625.57
33,225000902,2250,2005,3,-2529.86
27,223560797,2235,2005,3,-2458.51
27,223680797,2236,2005,3,-2408.09
32,204904911,2049,2005,3,-2393.99
3,305480797,3054,2005,2,-2284.12
40,241501911,2415,2005,2,-2282.56
3,224505901,2245,2005,3,-2267.79
21,205980052,2059,2005,3,-1948.73
40,220204911,2202,2006,3,-1888.68
33,223560911,2235,2006,3,-1883.06
40,205980799,2059,2005,3,-1821.99
33,224502911,2245,2006,3,-1812.78
28,225000902,2250,2006,3,-1778.14
11,224505901,2245,2006,3,-1761.99
27,204100910,2041,2005,3,-1695.61
27,204100910,2041,2006,3,-1675.72
28,225000902,2250,2005,3,-1666.53
21,288560800,2885,2005,2,-1662.32
40,220204911,2202,2005,3,-1394.66
29,240601902,2406,2006,2,-1328.69
40,201400911,2014,2006,3,-1261.8
40,345300911,3453,2006,2,-1228.95
11,224505901,2245,2005,3,-1209.76
29,223560902,2235,2006,3,-1161.65
27,203003911,2030,2006,3,-1153.24
29,223560902,2235,2005,3,-1136.39
40,207101911,2071,2006,3,-1099.06
24,305480052,3054,2005,2,-1083.5
28,223560902,2235,2006,3,-1069.22
29,240601902,2406,2005,2,-1039.19
40,221005911,2210,2006,3,-1023.37
40,223001904,2230,2005,3,-1003.86
16,221501799,2215,2006,3,-998.36
21,205980001,2059,2006,3,-988.02
28,223560902,2235,2005,3,-963.67
40,281002911,2810,2006,2,-961.43
40,285206911,2852,2006,2,-933.25
27,220201911,2202,2006,3,-924.13
24,305480052,3054,2006,2,-917.08
40,223001904,2230,2006,3,-873.64
24,347500797,3475,2006,2,-864.74
27,240601902,2406,2006,2,-831.06
40,285208911,2852,2006,2,-816.5
14,221501001,2215,2006,3,-811.36
40,207101911,2071,2005,3,-800.09
24,347500797,3475,2005,2,-799.34
40,223001905,2230,2005,3,-794.59
33,345600911,3456,2006,2,-789.02
40,223001905,2230,2006,3,-772.96
40,221005911,2210,2005,3,-766.68
32,251500911,2515,2006,2,-759.35
40,223502911,2235,2005,3,-752.06
6,270018799,2700,2005,2,-733.57
3,224505901,2245,2006,3,-717.82
27,205980799,2059,2005,3,-652.99
40,222501911,2225,2006,3,-639.25
21,205980799,2059,2006,3,-632.38
40,285100911,2851,2006,2,-631.41
40,220500911,2205,2006,3,-631.18
40,240100911,2401,2006,2,-628.5
16,270280799,2702,2006,2,-603.25
40,281002911,2810,2005,2,-595.26
33,224501911,2245,2005,3,-585.91
29,285100902,2851,2005,2,-582.05
32,205300911,2053,2005,3,-581.33
40,281060911,2810,2006,2,-572.87
32,240500911,2405,2005,2,-565.95
27,205980799,2059,2006,3,-560.25
33,241501911,2415,2005,2,-544.61
40,240702911,2407,2006,2,-541.13
40,281001911,2810,2005,2,-536.05
33,224502911,2245,2005,3,-514.48
15,204901911,2049,2005,3,-509.6
40,281060911,2810,2005,2,-499.73
16,221501799,2215,2005,3,-494.7
40,220300911,2203,2006,3,-486.74
32,221080911,2210,2005,3,-484.02
32,223560905,2235,2006,3,-481.24
40,221002911,2210,2006,3,-471.17
32,240300911,2403,2006,2,-462.65
13,224505901,2245,2006,3,-453
28,222503911,2225,2005,3,-446.28
33,223501911,2235,2005,3,-438.5
27,220201911,2202,2005,3,-436.24
24,207500902,2075,2006,3,-430.26
40,205980799,2059,2006,3,-426.19
32,241501911,2415,2005,2,-423.96
6,205980799,2059,2006,3,-419.47
13,221780800,2217,2006,3,-414.9
40,220202911,2202,2006,3,-410.38
27,221006911,2210,2006,3,-391.13
23,201500105,2015,2006,3,-371.38
33,285100902,2851,2006,2,-369.01
10,224501911,2245,2006,3,-364.35
27,205500911,2055,2006,3,-359.89
29,240602902,2406,2005,2,-350.1
29,285100902,2851,2006,2,-349.15
33,221780911,2217,2006,3,-347.2
27,221006911,2210,2005,3,-343.76
19,270180799,2701,2005,2,-339.65
7,201500105,2015,2005,3,-334.16
40,221002911,2210,2005,3,-328.8
33,270180800,2701,2005,2,-320.67
13,224505901,2245,2005,3,-319.5
14,221501001,2215,2005,3,-308.69
27,207101910,2071,2006,3,-305.96
32,305480052,3054,2005,2,-300.14
32,305480052,3054,2006,2,-297.86
40,220400911,2204,2006,3,-285.47
9,270280799,2702,2005,2,-274.65
7,201500106,2015,2006,3,-273.52
27,207101911,2071,2005,3,-271.4
33,224502115,2245,2006,3,-262.37
40,285280911,2852,2006,2,-260.26
32,221780911,2217,2005,3,-256.56
33,270180052,2701,2005,2,-254.16
32,224502911,2245,2005,3,-247.94
32,285100911,2851,2005,2,-243.84
8,205980799,2059,2005,3,-243.17
33,221501911,2215,2005,3,-233.36
32,221780911,2217,2006,3,-232.72
33,223501902,2235,2005,3,-228.11
